trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
weekday-9B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-10B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-11B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-12B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-13B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-14B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-15B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-16B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-17B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-18B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-19B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-20B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-21B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-22B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-23B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-24B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-25B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-26B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-27B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-28B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-29B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-30B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-31B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-32B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-33B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-34B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-35B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-36B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-37B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-38B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-39B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-40B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-41B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-42B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-43B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-44B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-45B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-46B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-47B,22210,weekday,Loop,,0,weekday-B,69683,1,2
friday-1A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-2A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-3A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-4A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-5A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-6A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-7A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-8A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-9A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-10A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-11A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-12A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-13A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-14A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-15A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-16A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-17A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-18A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-19A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-20A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-21A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-22A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-23A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-24A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-25A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-26A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-27A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-28A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-29A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-30A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-31A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-32A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-33A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-34A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-35A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-36A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-37A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-38A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-39A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-40A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-41A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-42A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-43A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-44A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-45A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-46A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-47A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-48A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-49A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-50A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-51A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-52A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-53A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-54A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-55A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-56A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-57A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-58A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-59A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-60A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-61A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-62A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-63A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-64A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-65A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-66A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-67A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-68A,22210,friday,Loop,,0,friday-A,69683,1,2
friday-1B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-2B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-3B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-4B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-5B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-6B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-7B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-8B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-9B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-10B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-11B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-12B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-13B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-14B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-15B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-16B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-17B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-18B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-19B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-20B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-21B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-22B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-23B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-24B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-25B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-26B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-27B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-28B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-29B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-30B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-31B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-32B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-33B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-34B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-35B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-36B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-37B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-38B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-39B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-40B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-41B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-42B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-43B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-44B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-45B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-46B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-47B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-48B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-49B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-50B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-51B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-52B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-53B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-54B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-55B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-56B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-57B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-58B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-59B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-60B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-61B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-62B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-63B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-64B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-65B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-66B,22210,friday,Loop,,0,friday-B,69683,1,2
friday-67B,22210,friday,Loop,,0,friday-B,69683,1,2
saturday-1A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-2A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-3A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-4A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-5A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-6A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-7A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-8A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-9A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-10A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-11A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-12A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-13A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-14A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-15A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-16A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-17A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-18A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-19A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-20A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-21A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-22A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-23A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-24A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-25A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-26A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-27A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-28A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-29A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-30A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-31A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-32A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-33A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-34A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-35A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-36A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-37A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-38A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-39A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-40A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-41A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-42A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-43A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-44A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-45A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-46A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-47A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-48A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-49A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-50A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-51A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-52A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-53A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-54A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-55A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-56A,22210,saturday,Loop,,0,saturday-A,69683,1,2
saturday-1B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-2B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-3B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-4B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-5B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-6B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-7B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-8B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-9B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-10B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-11B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-12B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-13B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-14B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-15B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-16B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-17B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-18B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-19B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-20B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-21B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-22B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-23B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-24B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-25B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-26B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-27B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-28B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-29B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-30B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-31B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-32B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-33B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-34B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-35B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-36B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-37B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-38B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-39B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-40B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-41B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-42B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-43B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-44B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-45B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-46B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-47B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-48B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-49B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-50B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-51B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-52B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-53B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-54B,22210,saturday,Loop,,0,saturday-B,69683,1,2
saturday-55B,22210,saturday,Loop,,0,saturday-B,69683,1,2
